Word,Start Time (s),End Time (s),Emotion,Character,Mode,Body Posture,Background,Intensity
"yes,",36.14,36.46,happy,character1,big_side,think,green,True
because,36.6,37.0,happy,character1,big_side,think,green,True
obviously,37.0,37.38,sarcasm,character1,big_side,think,green,False
the,37.38,37.72,sarcasm,character1,big_side,why,green,False
world,37.72,38.04,sarcasm,character1,big_side,why,green,False
was,38.04,38.24,sarcasm,character1,big_side,why,green,False
waiting,38.24,38.52,sarcasm,character1,big_side,why,green,False
for,38.52,38.76,sarcasm,character1,big_side,why,green,False
another,38.76,39.02,sarcasm,character1,big_side,why,green,True
creatively,39.02,39.52,sarcasm,character1,big_side,wow,green,True
edited,39.52,40.02,sarcasm,character1,big_side,wow,green,True
video,40.02,40.43,sarcasm,character1,big_side,wow,green,True
Revolutionary,40.43,42.54,sarcasm,character1,big_side,wow,green,True
"Wait,",43.66,43.84,sarcasm,character1,big_center,wow,green,True
where,43.98,44.22,sarcasm,character1,big_center,wow,green,True
did,44.22,44.32,worried,character1,big_center,wow,green,False
I,44.32,44.48,worried,character1,big_center,wow,green,False
go?,44.48,44.72,worried,character1,big_center,wow,green,True
Wow!,45.8,46.08,worried,character1,small_side,why,green,True
Editor,46.22,47.36,worried,character1,small_side,why,green,True
moved,47.36,47.74,sarcasm,character1,small_side,why,green,False
me,47.74,48.0,sarcasm,character1,small_side,why,green,False
to,48.0,48.12,sarcasm,character1,small_side,why,green,False
side,48.12,48.36,sarcasm,character1,small_side,this,green,False
like,48.36,48.58,sarcasm,character1,small_side,this,green,False
an,48.58,48.72,sarcasm,character1,small_side,this,green,True
unnecessary,48.72,49.12,sarcasm,character1,small_side,this,green,True
variable,49.12,49.88,sarcasm,character1,small_side,this,green,True
Dude!,51.1,51.24,sarcasm,character1,small_side,this,green,True
A,51.5,52.52,sarcasm,character1,small_side,this,green,True
potato?,52.52,52.9,sarcasm,character1,small_side,cross_hands,green,True
Really?,53.14,54.4,angry,character1,small_side,cross_hands,green,False
this,54.5,55.62,angry,character1,small_side,cross_hands,green,False
is,55.62,55.82,angry,character1,small_side,me,green,False
why,55.82,56.06,angry,character1,small_side,me,green,False
editors,56.06,56.36,angry,character1,small_side,me,green,False
should,56.36,56.72,angry,character1,small_side,me,green,False
not,56.72,56.92,angry,character1,small_side,me,green,True
have,56.92,57.2,angry,character1,small_side,me,green,True
freedom,57.2,57.48,angry,character1,small_side,me,green,True
you,58.58,58.72,angry,character1,big_center,brave,green,True
know,58.72,58.96,angry,character1,big_center,brave,green,True
what,58.96,59.14,angry,character1,big_center,brave,green,True
hurts,59.14,59.46,sad,character1,big_center,brave,green,False
the,60.34,60.68,sad,character1,big_center,brave,green,False
potato,60.68,61.04,sad,character1,big_center,brave,green,False
got,61.04,61.32,sad,character1,big_center,brave,green,False
more,61.32,61.56,sad,character1,big_center,brave,green,False
screen,61.56,61.8,sad,character1,big_center,brave,green,False
time,61.8,62.12,sad,character1,big_center,brave,green,True
than,62.12,62.34,sad,character1,big_center,no,green,True
me,62.34,62.52,sad,character1,big_center,no,green,True
that's,63.66,64.04,sad,character1,big_center,no,green,True
it,64.04,64.2,sad,character1,big_center,no,green,True
editor,65.04,65.38,sad,character1,big_center,no,green,True
stop,65.38,65.9,angry,character1,big_center,no,green,False
adding,65.9,66.22,angry,character1,big_center,no,green,False
sound,66.22,66.52,angry,character1,big_center,think,green,False
effects,66.52,66.86,angry,character1,big_center,think,green,False
every,66.86,67.16,angry,character1,big_center,think,green,False
time,67.16,67.42,angry,character1,big_center,think,green,False
I,67.42,67.58,angry,character1,big_center,think,green,False
blink,67.58,67.8,angry,character1,big_center,think,green,False
I,68.9,69.04,angry,character1,big_center,think,green,False
don't,69.04,69.36,angry,character1,big_center,think,green,True
need,69.36,69.46,angry,character1,big_center,think,green,True
a,69.46,69.56,angry,character1,big_center,think,green,True
whoosh,69.56,69.88,angry,character1,big_center,cross_hands,green,True
for,69.88,69.96,angry,character1,big_center,cross_hands,green,True
existing,69.96,70.32,angry,character1,big_center,cross_hands,green,True
okay,71.56,71.82,angry,character1,big_center,cross_hands,green,True
deep,71.82,72.26,angry,character1,big_center,that,green,True
breaths,72.26,72.68,angry,character1,big_center,that,green,True
maybe,73.8,74.08,worried,character1,big_center,that,green,False
the,74.08,74.26,worried,character1,big_center,that,green,False
audience,74.26,74.64,worried,character1,big_center,that,green,False
still,74.64,75.0,worried,character1,big_center,that,green,False
respects,75.0,75.34,worried,character1,big_center,that,green,False
me,75.34,75.76,worried,character1,big_center,brave,green,True
no,76.86,77.02,worried,character1,big_center,brave,green,True
but,78.18,78.24,worried,character1,big_center,brave,green,True
okay,78.24,78.62,worried,character1,big_center,brave,green,True
cool,78.62,79.2,worried,character1,big_center,brave,green,True
cool,79.2,79.48,sarcasm,character1,big_center,brave,green,False
cool,79.48,79.74,sarcasm,character1,big_center,brave,green,False
and,80.94,81.06,sarcasm,character1,big_center,brave,green,False
that,81.06,81.36,sarcasm,character1,big_center,brave,green,False
dear,81.36,81.64,sarcasm,character1,big_center,brave,green,False
viewers,81.64,82.08,sarcasm,character1,big_center,brave,green,False
is,82.08,82.5,sarcasm,character1,big_center,brave,green,False
the,82.5,82.64,sarcasm,character1,big_center,brave,green,False
power,82.64,82.98,sarcasm,character1,big_center,this,green,False
of,82.98,83.16,sarcasm,character1,big_center,this,green,False
editing,83.16,83.44,sarcasm,character1,big_center,this,green,False
emotions,83.6,84.92,sarcasm,character1,big_side,this,green,False
done,84.92,85.94,sarcasm,character1,big_side,this,green,False
postures,87.6,88.08,sarcasm,character1,big_side,this,green,False
done,88.08,88.94,sarcasm,character1,big_side,point,green,False
random,90.5,90.82,sarcasm,character1,big_side,point,green,True
potato,90.82,91.28,sarcasm,character1,big_side,point,green,True
cameo,91.28,91.9,sarcasm,character1,big_side,point,green,True
extremely,92.96,93.4,sarcasm,character1,big_side,point,green,True
done,93.4,93.8,sarcasm,character1,big_side,point,green,True
if,94.92,95.02,sarcasm,character1,big_center,point,green,True
you,95.02,95.18,sarcasm,character1,big_center,point,green,True
still,95.18,95.44,sarcasm,character1,big_center,point,green,True
didn't,95.44,95.82,sarcasm,character1,big_center,point,green,True
hire,95.82,96.02,sarcasm,character1,big_center,point,green,True
this,96.02,96.26,sarcasm,character1,big_center,point,green,True
editor,96.26,96.54,sarcasm,character1,big_center,point,green,True
you're,96.58,97.0,sarcasm,character1,big_center,point,green,True
probably,97.0,97.32,sarcasm,character1,big_center,point,green,True
the,97.32,97.56,sarcasm,character1,big_center,point,green,True
potato,97.56,97.86,sarcasm,character1,big_center,point,green,True
