Frame,Word,Start Time (s),End Time (s),Assigned_Phoneme,starting_frame,end_frame,Frame_Range,Phonemes,Emotion,Character,Mode,Body Posture,Intensity,Background,Head_Direction,Eye_Direction,Head_Tilt,Zoom_Level,Blink,media
13,"there,",0.3,0.62,EH1,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
14,"there,",0.3,0.62,EH1,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
15,"there,",0.3,0.62,EH1,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
16,"there,",0.3,0.62,EH1,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
17,"there,",0.3,0.62,R,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
18,"there,",0.3,0.62,R,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
19,"there,",0.3,0.62,R,8,19,9-19,"['DH', 'EH1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
20,wonderful,0.68,1.16,W,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
21,wonderful,0.68,1.16,AH1,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
22,wonderful,0.68,1.16,AH1,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
23,wonderful,0.68,1.16,N,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
24,wonderful,0.68,1.16,N,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
25,wonderful,0.68,1.16,D,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
26,wonderful,0.68,1.16,ER0,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
27,wonderful,0.68,1.16,ER0,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
28,wonderful,0.68,1.16,ER0,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
29,wonderful,0.68,1.16,F,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
30,wonderful,0.68,1.16,F,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
31,wonderful,0.68,1.16,AH0,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
32,wonderful,0.68,1.16,AH0,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
33,wonderful,0.68,1.16,AH0,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
34,humans.,1.16,1.62,HH,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
34,wonderful,0.68,1.16,L,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
35,humans.,1.16,1.62,HH,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
35,wonderful,0.68,1.16,L,20,35,20-35,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
36,humans.,1.16,1.62,Y,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
37,humans.,1.16,1.62,UW1,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
38,humans.,1.16,1.62,UW1,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
39,humans.,1.16,1.62,UW1,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
40,humans.,1.16,1.62,UW1,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
41,humans.,1.16,1.62,M,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
42,humans.,1.16,1.62,M,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
43,humans.,1.16,1.62,AH0,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
44,humans.,1.16,1.62,AH0,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
45,humans.,1.16,1.62,AH0,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
46,humans.,1.16,1.62,N,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
47,humans.,1.16,1.62,N,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
48,humans.,1.16,1.62,Z,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
49,humans.,1.16,1.62,Z,34,49,35-49,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
50,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
51,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
52,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
53,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
54,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
55,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
56,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
57,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
58,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
59,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
60,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
61,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
62,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
63,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
64,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
65,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
66,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
67,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
68,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
69,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
70,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
71,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
72,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
73,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
74,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
75,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
76,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
77,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
78,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
79,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
80,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
81,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
82,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
83,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
84,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
85,humans.,1.16,1.62,B,34,49,,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'Z']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
86,Today,2.86,3.02,T,86,91,86-91,"['T', 'AH0', 'D', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
87,Today,2.86,3.02,AH0,86,91,86-91,"['T', 'AH0', 'D', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
88,Today,2.86,3.02,AH0,86,91,86-91,"['T', 'AH0', 'D', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
89,Today,2.86,3.02,D,86,91,86-91,"['T', 'AH0', 'D', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
90,I'm,3.02,3.36,IH1,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
90,Today,2.86,3.02,EY1,86,91,86-91,"['T', 'AH0', 'D', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
91,I'm,3.02,3.36,IH1,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
91,Today,2.86,3.02,EY1,86,91,86-91,"['T', 'AH0', 'D', 'EY1']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
92,I'm,3.02,3.36,IH1,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
93,I'm,3.02,3.36,IH1,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
94,I'm,3.02,3.36,IH1,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
95,I'm,3.02,3.36,IH1,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,R,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
96,I'm,3.02,3.36,IH1,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
97,I'm,3.02,3.36,M,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
98,I'm,3.02,3.36,M,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
99,I'm,3.02,3.36,M,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
100,here,3.36,3.48,HH,100,104,101-104,"['HH', 'IY1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
100,I'm,3.02,3.36,M,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
101,here,3.36,3.48,IY1,100,104,101-104,"['HH', 'IY1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
101,I'm,3.02,3.36,M,90,101,91-101,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
102,here,3.36,3.48,IY1,100,104,101-104,"['HH', 'IY1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
103,here,3.36,3.48,IY1,100,104,101-104,"['HH', 'IY1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
103,to,3.48,3.64,T,103,109,104-109,"['T', 'UW1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
104,here,3.36,3.48,R,100,104,101-104,"['HH', 'IY1', 'R']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
104,to,3.48,3.64,T,103,109,104-109,"['T', 'UW1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
105,to,3.48,3.64,UW1,103,109,104-109,"['T', 'UW1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
106,to,3.48,3.64,UW1,103,109,104-109,"['T', 'UW1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
107,to,3.48,3.64,UW1,103,109,104-109,"['T', 'UW1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
108,prove,3.64,3.82,P,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
108,to,3.48,3.64,UW1,103,109,104-109,"['T', 'UW1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
109,prove,3.64,3.82,R,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
109,to,3.48,3.64,UW1,103,109,104-109,"['T', 'UW1']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
110,prove,3.64,3.82,R,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
111,prove,3.64,3.82,UW1,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
112,prove,3.64,3.82,UW1,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
113,prove,3.64,3.82,UW1,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
114,I'm,3.82,4.12,IH1,114,124,115-124,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
114,prove,3.64,3.82,V,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
115,prove,3.64,3.82,V,108,115,109-115,"['P', 'R', 'UW1', 'V']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
115,I'm,3.82,4.12,IH1,114,124,115-124,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
116,I'm,3.82,4.12,IH1,114,124,115-124,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
117,I'm,3.82,4.12,IH1,114,124,115-124,"['IH1', 'M']",angry,character1,big_center,cross_hands,False,green,M,M,0,1.0,False,projects/1/media/chunk_0_dipika.jpeg
