Word,Start Time (s),End Time (s),Emotion,Character,Mode,Body Posture,Background,Intensity
Why,14.68,14.82,angry,character1,big_center,cross_hands,green,False
do,14.82,14.96,angry,character1,big_center,cross_hands,green,False
I,14.96,15.12,angry,character1,big_center,cross_hands,green,False
do,15.12,15.26,angry,character1,big_center,cross_hands,green,False
this,15.26,15.46,angry,character1,big_center,cross_hands,green,False
to,15.46,15.6,angry,character1,big_center,cross_hands,green,False
myself?,15.6,15.88,angry,character1,big_center,cross_hands,green,False
So,17.22,17.36,angry,character1,big_center,cross_hands,green,False
this,17.36,17.52,angry,character1,big_center,cross_hands,green,False
is,17.52,17.76,angry,character1,big_center,cross_hands,green,False
"me,",17.76,17.98,angry,character1,big_center,cross_hands,green,False
being,18.06,18.48,angry,character1,big_center,cross_hands,green,False
totally,18.48,18.86,angry,character1,big_center,cross_hands,green,False
calm.,18.86,19.22,angry,character1,big_center,cross_hands,green,False
Look,20.3,20.5,angry,character1,big_center,cross_hands,green,False
at,20.5,20.7,angry,character1,big_center,cross_hands,green,False
this,20.7,20.88,angry,character1,big_center,cross_hands,green,False
calmness.,20.88,21.4,angry,character1,big_center,cross_hands,green,False
Doctors,22.52,22.84,angry,character1,big_center,cross_hands,green,False
hate,22.84,23.2,angry,character1,big_center,cross_hands,green,False
it.,23.2,23.44,angry,character1,big_center,cross_hands,green,False
"Behold,",24.18,24.84,angry,character1,big_center,cross_hands,green,False
boredom.,24.98,25.62,angry,character1,big_center,cross_hands,green,False
This,25.74,26.74,angry,character1,big_center,cross_hands,green,False
is,26.74,26.92,angry,character1,big_center,cross_hands,green,False
my,26.92,27.12,angry,character1,big_center,cross_hands,green,False
default,27.12,27.44,angry,character1,big_center,cross_hands,green,False
mode,27.44,27.82,angry,character1,big_center,cross_hands,green,False
during,27.82,28.04,angry,character1,big_center,cross_hands,green,False
long,28.04,28.36,angry,character1,big_center,cross_hands,green,False
meetings,28.36,28.64,angry,character1,big_center,cross_hands,green,False
and,28.64,28.9,angry,character1,big_center,cross_hands,green,False
lectures,28.9,29.24,angry,character1,big_center,cross_hands,green,False
starting,29.24,29.64,angry,character1,big_center,cross_hands,green,False
with,29.64,29.9,angry,character1,big_center,cross_hands,green,False
according,29.9,30.16,angry,character1,big_center,cross_hands,green,False
to,30.16,30.5,angry,character1,big_center,cross_hands,green,False
the,30.5,30.64,angry,character1,big_center,cross_hands,green,False
syllabus,30.64,30.92,angry,character1,big_center,cross_hands,green,False
Whoa!,32.16,32.4,angry,character1,big_center,cross_hands,green,False
Something,32.56,33.84,angry,character1,big_center,cross_hands,green,False
actually,33.84,34.36,angry,character1,big_center,cross_hands,green,False
interesting,34.36,34.82,angry,character1,big_center,cross_hands,green,False
Oh,36.06,36.14,angry,character1,big_center,cross_hands,green,False
"yes,",36.14,36.46,angry,character1,big_center,cross_hands,green,False
because,36.6,37.0,angry,character1,big_center,cross_hands,green,False
obviously,37.0,37.38,angry,character1,big_center,cross_hands,green,False
the,37.38,37.72,angry,character1,big_center,cross_hands,green,False
world,37.72,38.04,angry,character1,big_center,cross_hands,green,False
was,38.04,38.24,angry,character1,big_center,cross_hands,green,False
waiting,38.24,38.52,angry,character1,big_center,cross_hands,green,False
for,38.52,38.76,angry,character1,big_center,cross_hands,green,False
another,38.76,39.02,angry,character1,big_center,cross_hands,green,False
creatively,39.02,39.52,angry,character1,big_center,cross_hands,green,False
edited,39.52,40.02,angry,character1,big_center,cross_hands,green,False
video,40.02,40.43,angry,character1,big_center,cross_hands,green,False
Revolutionary,40.43,42.54,angry,character1,big_center,cross_hands,green,False
"Wait,",43.66,43.84,angry,character1,big_center,cross_hands,green,False
where,43.98,44.22,angry,character1,big_center,cross_hands,green,False
did,44.22,44.32,angry,character1,big_center,cross_hands,green,False
I,44.32,44.48,angry,character1,big_center,cross_hands,green,True
go?,44.48,44.72,angry,character1,big_center,cross_hands,green,True
Wow!,45.8,46.08,angry,character1,big_center,cross_hands,green,True
Editor,46.22,47.36,angry,character1,big_center,cross_hands,green,True
moved,47.36,47.74,angry,character1,big_center,cross_hands,green,True
me,47.74,48.0,angry,character1,big_center,cross_hands,green,True
to,48.0,48.12,angry,character1,big_center,cross_hands,green,True
side,48.12,48.36,angry,character1,big_center,cross_hands,green,True
like,48.36,48.58,angry,character1,big_center,cross_hands,green,True
an,48.58,48.72,angry,character1,big_center,cross_hands,green,True
unnecessary,48.72,49.12,angry,character1,big_center,cross_hands,green,True
variable,49.12,49.88,angry,character1,big_center,cross_hands,green,True
Dude!,51.1,51.24,angry,character1,big_center,cross_hands,green,True
A,51.5,52.52,angry,character1,big_center,cross_hands,green,True
potato?,52.52,52.9,angry,character1,big_center,cross_hands,green,True
Really?,53.14,54.4,angry,character1,big_center,cross_hands,green,True
this,54.5,55.62,angry,character1,big_center,cross_hands,green,True
is,55.62,55.82,angry,character1,big_center,cross_hands,green,True
why,55.82,56.06,angry,character1,big_center,cross_hands,green,True
editors,56.06,56.36,angry,character1,big_center,cross_hands,green,True
should,56.36,56.72,angry,character1,big_center,cross_hands,green,True
not,56.72,56.92,angry,character1,big_center,cross_hands,green,True
have,56.92,57.2,angry,character1,big_center,cross_hands,green,True
freedom,57.2,57.48,angry,character1,big_center,cross_hands,green,True
you,58.58,58.72,angry,character1,big_center,cross_hands,green,True
know,58.72,58.96,angry,character1,big_center,cross_hands,green,True
what,58.96,59.14,angry,character1,big_center,cross_hands,green,True
hurts,59.14,59.46,angry,character1,big_center,cross_hands,green,True
the,60.34,60.68,angry,character1,big_center,cross_hands,green,True
potato,60.68,61.04,angry,character1,big_center,cross_hands,green,True
got,61.04,61.32,angry,character1,big_center,cross_hands,green,True
more,61.32,61.56,angry,character1,big_center,cross_hands,green,True
screen,61.56,61.8,angry,character1,big_center,cross_hands,green,True
time,61.8,62.12,angry,character1,big_center,cross_hands,green,True
than,62.12,62.34,angry,character1,big_center,cross_hands,green,True
me,62.34,62.52,angry,character1,big_center,cross_hands,green,True
that's,63.66,64.04,angry,character1,big_center,cross_hands,green,True
it,64.04,64.2,angry,character1,big_center,cross_hands,green,True
editor,65.04,65.38,angry,character1,big_center,cross_hands,green,True
stop,65.38,65.9,angry,character1,big_center,cross_hands,green,True
adding,65.9,66.22,angry,character1,big_center,cross_hands,green,True
sound,66.22,66.52,angry,character1,big_center,cross_hands,green,True
effects,66.52,66.86,angry,character1,big_center,cross_hands,green,True
every,66.86,67.16,angry,character1,big_center,cross_hands,green,True
time,67.16,67.42,angry,character1,big_center,cross_hands,green,True
I,67.42,67.58,angry,character1,big_center,cross_hands,green,True
blink,67.58,67.8,angry,character1,big_center,cross_hands,green,True
I,68.9,69.04,angry,character1,big_center,cross_hands,green,True
don't,69.04,69.36,angry,character1,big_center,cross_hands,green,True
need,69.36,69.46,angry,character1,big_center,cross_hands,green,True
a,69.46,69.56,angry,character1,big_center,cross_hands,green,True
whoosh,69.56,69.88,angry,character1,big_center,cross_hands,green,True
for,69.88,69.96,angry,character1,big_center,cross_hands,green,True
existing,69.96,70.32,angry,character1,big_center,cross_hands,green,True
okay,71.56,71.82,angry,character1,big_center,cross_hands,green,True
deep,71.82,72.26,angry,character1,big_center,cross_hands,green,True
breaths,72.26,72.68,angry,character1,big_center,cross_hands,green,True
maybe,73.8,74.08,angry,character1,big_center,cross_hands,green,True
the,74.08,74.26,angry,character1,big_center,cross_hands,green,True
audience,74.26,74.64,angry,character1,big_center,cross_hands,green,True
still,74.64,75.0,angry,character1,big_center,cross_hands,green,True
respects,75.0,75.34,angry,character1,big_center,cross_hands,green,True
me,75.34,75.76,angry,character1,big_center,cross_hands,green,True
no,76.86,77.02,angry,character1,big_center,cross_hands,green,True
but,78.18,78.24,angry,character1,big_center,cross_hands,green,True
okay,78.24,78.62,angry,character1,big_center,cross_hands,green,True
cool,78.62,79.2,angry,character1,big_center,cross_hands,green,True
cool,79.2,79.48,angry,character1,big_center,cross_hands,green,True
cool,79.48,79.74,angry,character1,big_center,cross_hands,green,True
and,80.94,81.06,angry,character1,big_center,cross_hands,green,True
that,81.06,81.36,angry,character1,big_center,cross_hands,green,True
dear,81.36,81.64,angry,character1,big_center,cross_hands,green,True
viewers,81.64,82.08,angry,character1,big_center,cross_hands,green,True
is,82.08,82.5,angry,character1,big_center,cross_hands,green,True
the,82.5,82.64,angry,character1,big_center,cross_hands,green,True
power,82.64,82.98,angry,character1,big_center,cross_hands,green,True
of,82.98,83.16,angry,character1,big_center,cross_hands,green,True
editing,83.16,83.44,angry,character1,big_center,cross_hands,green,True
emotions,83.6,84.92,angry,character1,big_center,cross_hands,green,True
done,84.92,85.94,angry,character1,big_center,cross_hands,green,True
postures,87.6,88.08,angry,character1,big_center,cross_hands,green,True
done,88.08,88.94,angry,character1,big_center,cross_hands,green,True
random,90.5,90.82,angry,character1,big_center,cross_hands,green,True
potato,90.82,91.28,angry,character1,big_center,cross_hands,green,True
cameo,91.28,91.9,angry,character1,big_center,cross_hands,green,True
extremely,92.96,93.4,angry,character1,big_center,cross_hands,green,True
done,93.4,93.8,angry,character1,big_center,cross_hands,green,True
if,94.92,95.02,angry,character1,big_center,cross_hands,green,True
you,95.02,95.18,angry,character1,big_center,cross_hands,green,True
still,95.18,95.44,angry,character1,big_center,cross_hands,green,True
didn't,95.44,95.82,angry,character1,big_center,cross_hands,green,True
hire,95.82,96.02,angry,character1,big_center,cross_hands,green,True
this,96.02,96.26,angry,character1,big_center,cross_hands,green,True
editor,96.26,96.54,angry,character1,big_center,cross_hands,green,True
you're,96.58,97.0,angry,character1,big_center,cross_hands,green,True
probably,97.0,97.32,angry,character1,big_center,cross_hands,green,True
the,97.32,97.56,angry,character1,big_center,cross_hands,green,True
potato,97.56,97.86,angry,character1,big_center,cross_hands,green,True
